null_index,seed,swap_attempts,swap_accepted,mobility_fraction,graph_signature,scale_persistence,time_persistence,stitch_defect,stitch_p90,stitch_max,stitch_n
22,20260927,87245,3951,0.04528626282308442,41022a63f299d4f249b636d761441c97d3071e55b84923d2532d72eef709fb12,0.34951739058079545,0.506889586836289,0.3302380633883554,1.0,1.0000000000000002,4728
23,20260928,87245,3992,0.045756203793913694,99549e2bf3083e9081e30b695c7e377a4285b4ab64bd4a3d39a678e900a7281a,0.3496838076219005,0.5067098125059484,0.3303325998248749,1.0,1.0000000000000002,4751
24,20260929,87245,4020,0.04607713909106539,eab57d162cf0ddd718fae010d285eba0df755838eda79a0c6c955c0f05693000,0.34997503744383424,0.5068472869938561,0.3298681276891137,1.0,1.0000000000000002,4731
25,20260930,87245,4009,0.04595105736718436,20b290ce2d4dfc4c1337f9b4387834ecec0c136e1d3abfaa2c50501d042e0ae2,0.349767016142453,0.5073443101424447,0.3313199369015826,1.0,1.0000000000000002,4739
26,20260931,87245,3905,0.04475901197776377,63c7e67f255f16ff6e4e83de12f31da80cbcd2270c6c424fdc1c391cac1830f2,0.3489765351972042,0.5064560134513499,0.3263852519524525,1.0,1.0000000000000002,4738
27,20260932,87245,4000,0.04584789959309989,4ee8d6d0b39e0751162914cab90c997731c8d0d12be05a56059098a29ca020a6,0.3495589948410717,0.507196260693929,0.32797007981343274,1.0,1.0000000000000002,4714
28,20260933,87245,3950,0.04527480084818614,c4e90099e947284f7f52381454ce30aa6c110ac426933da4e40cd4ff0723915c,0.349267765019138,0.506265664160401,0.3323075602131835,1.0,1.0000000000000002,4743
29,20260934,87245,4002,0.04587082354289644,0976ba7702456bbd9c57d9f338f8b3a9f37465c24da955e368f8d34bce66b76a,0.34939257779996674,0.507629834078868,0.32930287338183334,1.0,1.0000000000000002,4749
30,20260935,87245,3976,0.04557281219554129,ba7e4bd25f8b0e026664ef878f157cb76161763caf5228d7c9083e5bbf286be3,0.350099850224663,0.5074183348667026,0.33064329179563695,1.0,1.0000000000000002,4755
31,20260936,87245,3954,0.04532064874777924,dfd945d8278fd1305c0bfb9a2ead59ecc7583d5b9813a2c838a3d2934cba9114,0.34947578632051923,0.5065088882543912,0.32626001716280434,1.0,1.0000000000000002,4735
32,20260937,87245,3908,0.04479339790245859,4869c7fe8a380c4098eedfec725eab168452fa5866dc4b686cb387665827e33c,0.3505574970877018,0.5072702854181868,0.32809829208858243,1.0,1.0000000000000002,4728
33,20260938,87245,3876,0.044426614705713796,745e2d96c96774b24b0c71e2c852786afa628d45bd8a1e7d53acdc210db41963,0.3486853053752704,0.5067944121908146,0.32855014141630323,1.0,1.0000000000000002,4743
34,20260939,87245,3861,0.04425468508223967,2b61920de9dcdc7997a89ae6b353a64338e971545c792011d8e804d8e2578ad5,0.35022466300549177,0.5069953364423718,0.3285036833379403,1.0,1.0000000000000002,4738
35,20260940,87245,4041,0.046317840563929166,36b89efbfdabd7cbefa8301d1b847f9e1167c6fc4f0d8a0fdf265ab7755e3fe7,0.3496422033616242,0.507196260693929,0.330708873027014,1.0,1.0000000000000002,4734
