node_id,time_idx,time_value,scale_idx,scale_value,object_id,stitch_defect,enstrophy_mean,enstrophy_integral,q_mean,q_max,strain_sq_mean_proxy,cx,cy,cz,physical_volume,equiv_radius
t06_s01_o000119,6,0.012,1,0.012271881103515625,o000119,0.5530165718447031,1107.5563746861048,0.1432838683305267,490.6367586408343,1059.257080078125,126.2828574044363,1.3896152223859515,1.0687931878226145,0.4771132060459682,0.00012936936810203914,0.031374798780416636
t02_s01_o000007,2,0.004,1,0.012271881103515625,o000007,0.5466289610520472,1146.9086486816407,0.423928134716307,452.2757598876953,1180.290771484375,242.35712890625007,0.5255433082580567,1.1479117584228515,0.23739953994750976,0.0003696267660058261,0.044520319023319835
t06_s00_o000243,6,0.012,0,0.0061359405517578125,o000243,0.5297578726233217,1333.5069228515624,0.03850780088593779,586.0355610351562,1131.9866943359375,161.43580078125,1.0449752197265625,0.9001670227050782,0.7303241882324218,2.8877091094205165e-05,0.019032168667062477
t05_s00_o000411,5,0.01,0,0.0061359405517578125,o000411,0.5294404539081692,2549.0814049816718,0.2867847779352281,1057.0588890248011,3810.97900390625,434.9636269320695,1.0463101584808538,0.8925714590711025,1.175757085028615,0.00011250514690302332,0.029947547373568154
t05_s00_o000420,5,0.01,0,0.0061359405517578125,o000420,0.5294404539081692,2807.7271224483366,0.10053794993443783,848.4229153540826,2219.49560546875,1110.8812917401713,1.0176160504741054,0.8761331373645413,1.1548235985540576,3.5807592956814405e-05,0.020446964340339883
t03_s00_o000279,3,0.006,0,0.0061359405517578125,o000279,0.5283382435615763,2334.3121116883462,0.3187057024279576,850.1422519845204,2377.167236328125,634.0276077193055,0.6873084002138193,0.9995561364136775,0.8898463499324172,0.00013653088669340202,0.03194337258946576
t08_s00_o000192,8,0.016,0,0.0061359405517578125,o000192,0.5257213438958893,1514.8322620057222,0.03989448169081066,596.4057287918894,991.3702392578125,322.02080442194347,0.709669966446726,0.6125175743772272,0.5975006672373989,2.633590707791511e-05,0.01845666476156732
t07_s01_o000256,7,0.014,1,0.012271881103515625,o000256,0.52135774547783,1098.0016918182373,0.12987226061302426,377.22621726989746,849.9356079101562,343.5492572784424,0.6172372698783875,0.8344879150390625,0.9039007425308228,0.00011828056512186436,0.030451469867299963
t02_s00_o000032,2,0.004,0,0.0061359405517578125,o000032,0.5141889299048159,1124.9921372812005,0.020531468270833356,492.9257480283327,689.7569580078125,139.1406412245351,1.3106835039356086,0.2645444749276849,0.21910744679125047,1.8250321571537664e-05,0.01633279974612263
t04_s01_o000121,4,0.008,1,0.012271881103515625,o000121,0.5110435045650632,1086.0272200734992,0.15254139707702474,478.9027627643786,1036.1717529296875,128.22169454474192,1.385753731978567,1.0650701020893296,0.4816713333129883,0.00014045817108221392,0.0322467635597841
t05_s00_o000292,5,0.01,0,0.0061359405517578125,o000292,0.5059811402769298,2373.4495628512636,0.32240425367653547,861.6007798902032,2457.9423828125,650.2480030708573,0.6875905763535273,0.9965790112813313,0.8864347042680598,0.0001358378365071411,0.031889231176214575
t04_s00_o000356,4,0.008,0,0.0061359405517578125,o000356,0.5020603464998543,2822.0592180734657,0.487001338014568,1025.8248718343425,3558.530517578125,770.4094744047807,1.3374214734099157,1.267092259214266,1.0561210448483387,0.00017256949637897007,0.03453757233115197
t04_s00_o000353,4,0.008,0,0.0061359405517578125,o000353,0.5020603464998543,1288.9067848401191,0.04645040853993349,507.2092064099434,757.1513061523438,274.4883720202323,1.2803662618001301,1.3486482669145634,1.0206507780613043,3.6038609685568046e-05,0.02049084208078063
t04_s00_o000473,4,0.008,0,0.0061359405517578125,o000473,0.4976684385748912,1500.892985710731,0.07212012865578118,691.9069541050837,1653.040283203125,117.07907750056347,1.151963839164147,1.3272216411737294,1.3200827103394728,4.8051479580757395e-05,0.022553089939775412
t04_s01_o000099,4,0.008,1,0.012271881103515625,o000099,0.4972149036136986,1236.6035778414819,0.3542383805143051,476.08961083196823,1033.60107421875,284.4243561775454,1.0736510430612871,0.6091405499366023,0.415165655074581,0.00028646074365451524,0.040893928680679766
t08_s01_o000195,8,0.016,1,0.012271881103515625,o000195,0.49528114080792773,1229.2148866395692,0.08405488380583839,527.4952400826119,1218.3887939453125,174.22440647434541,0.8803416329461174,0.9324142095204946,0.6929466917708114,6.838095171107783e-05,0.025367763326638808
t00_s01_o000218,0,0.0,1,0.012271881103515625,o000218,0.4934226057601447,1555.2517247055516,0.18970467955820583,593.4119260383375,1946.1143798828125,368.4278726288767,0.9165793621178829,0.7066558202107748,0.7488636537031694,0.00012197683278192262,0.030765424678625825
t00_s01_o000240,0,0.0,1,0.012271881103515625,o000240,0.47684100528096607,1509.9619771186879,3.792441452468207,598.365303707614,2483.601318359375,313.2313697034599,0.8824083013864367,0.5984935009628644,0.916460739680298,0.0025116138750095884,0.08432469028702212
t07_s00_o000304,7,0.014,0,0.0061359405517578125,o000304,0.47592961331493727,2250.6067127288516,0.6857847688405136,805.7080942288414,2643.230224609375,639.1905242711687,0.5587706591162923,0.857049940570545,0.9406131703895181,0.0003047110652260529,0.04174455848251367
t07_s01_o000252,7,0.014,1,0.012271881103515625,o000252,0.4682235429091866,836.7228122287327,0.013917381620733294,311.1249491373698,369.7420349121094,214.47291395399304,1.0802664226955836,0.5266682306925455,0.8525548511081272,1.6633204470262175e-05,0.015835402464780792
t01_s01_o000209,1,0.002,1,0.012271881103515625,o000209,0.46354957900098254,1202.5862266138981,0.08445653097942449,539.1779821295487,1045.2880859375,124.23026235480074,0.5640221144023695,0.5640221144023695,0.7012734162180047,7.022908554110696e-05,0.02559427319868554
t03_s00_o000350,3,0.006,0,0.0061359405517578125,o000350,0.4484191920665716,2250.3810580166905,0.14296580937984787,705.3957142223011,1934.433349609375,839.5896295720884,1.3826616876775568,0.5685897202925249,1.1279197484796697,6.352960040725136e-05,0.02475307578341442
