object_id,object_name,supernova_type,band,phase_name,stage_index,alpha,alpha_radius,gap_base,duration_base,slope_base,curvature_base,gap_alpha,duration_alpha,slope_alpha,curvature_alpha,gap_response_norm,duration_response_norm,slope_response_norm,curvature_response_norm,structural_response,phase_persistence_score,boundary_role,support_regime_proxy,alpha_status,instability_flag
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.5,0.5,0.96,31.9,0.01278349528,0.009163964396,1.44,47.85,0.01917524292,0.01374594659,0.4210526316,0.2018476335,0.1848839232,0.005342400166,0.2575092912,0.7952227526,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.5,0.5,0.934,78.28,-0.02486856559,-0.07272787704,0.467,39.14,-0.01243428279,-0.03636393852,0.4096491228,0.4953176411,0.3596667321,0.04239883588,0.3727647766,0.7284569192,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.55,0.45,0.934,78.28,-0.02486856559,-0.07272787704,0.5137,43.054,-0.01367771107,-0.04000033237,0.3686842105,0.445785877,0.3237000588,0.03815895229,0.335488299,0.7487897878,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.6,0.4,0.934,78.28,-0.02486856559,-0.07272787704,0.5604,46.968,-0.01492113935,-0.04363672622,0.3277192982,0.3962541129,0.2877333856,0.0339190687,0.2982118213,0.7702903206,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.65,0.35,0.934,78.28,-0.02486856559,-0.07272787704,0.6071,50.882,-0.01616456763,-0.04727312008,0.286754386,0.3467223488,0.2517667124,0.02967918511,0.2609353437,0.7930620749,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.7,0.3,0.934,78.28,-0.02486856559,-0.07272787704,0.6538,54.796,-0.01740799591,-0.05090951393,0.2457894737,0.2971905847,0.2158000392,0.02543930153,0.223658866,0.8172212271,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.75,0.25,0.934,78.28,-0.02486856559,-0.07272787704,0.7005,58.71,-0.01865142419,-0.05454590778,0.2048245614,0.2476588206,0.179833366,0.02119941794,0.1863823883,0.8428985543,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.8,0.2,0.934,78.28,-0.02486856559,-0.07272787704,0.7472,62.624,-0.01989485247,-0.05818230163,0.1638596491,0.1981270564,0.1438666928,0.01695953435,0.1491059107,0.8702418034,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.85,0.15,0.934,78.28,-0.02486856559,-0.07272787704,0.7939,66.538,-0.02113828075,-0.06181869548,0.1228947368,0.1485952923,0.1079000196,0.01271965076,0.111829433,0.8994185352,plateau_or_buffer_regime,recombination_plateau,valid,no
B_SN1987A,SN1987A,II Pec,B,plateau_or_shoulder,4,0.9,0.1,0.934,78.28,-0.02486856559,-0.07272787704,0.8406,70.452,-0.02238170903,-0.06545508934,0.08192982456,0.09906352822,0.07193334641,0.008479767175,0.07455295533,0.9306195614,plateau_or_buffer_regime,recombination_plateau,valid,no
