time,amplitude
15.9,137.0
15.925,1752.0
15.95,-6086.0
15.975,-6003.0
16.0,-5137.0
16.025,-1130.0
16.05,-6024.0
16.075,-18447.0
16.1,-10170.0
16.125,-3297.0
16.15,-4362.0
16.175,329.0
16.2,-3612.0
16.225,-4945.0
16.25,2828.0
16.275,7002.0
16.3,1776.0
16.325,-6231.0
16.35,-6731.0
16.375,-7202.0
16.4,-10483.0
16.425,-5736.0
16.45,1107.0
16.475,674.0
16.5,-808.0
16.525,-556.0
16.55,69.0
16.575,-1264.0
16.6,-806.0
16.625,1979.0
16.65,2787.0
16.675,4684.0
16.7,5760.0
16.725,1110.0
16.75,-5377.0
16.775,-10090.0
16.8,-11466.0
16.825,-2317.0
16.85,1728.0
16.875,-6191.0
16.9,-2841.0
16.925,8926.0
16.95,10992.0
16.975,3949.0
17.0,171.0
17.025,-847.0
17.05,-3644.0
17.075,485.0
17.1,6565.0
17.125,197.0
17.15,-2777.0
17.175,5963.0
17.2,5225.0
17.225,2455.0
17.25,6077.0
17.275,4130.0
17.3,-2783.0
17.325,-771.0
17.35,-255.0
17.375,-12194.0
17.4,-7031.0
17.425,2352.0
17.45,-2143.0
17.475,-3360.0
17.5,1715.0
17.525,3797.0
17.55,-2947.0
17.575,-5611.0
17.6,-2493.0
17.625,9008.0
17.65,10922.0
17.675,1048.0
17.7,2014.0
17.725,-4747.0
17.75,-7672.0
17.775,-3011.0
17.8,-1222.0
17.825,2207.0
17.85,153.0
17.875,972.0
17.9,72.0
17.925,-4969.0
17.95,-8752.0
17.975,-5172.0
18.0,-3040.0
18.025,-8179.0
18.05,-1576.0
18.075,-44.0
18.1,-2147.0
18.125,-4505.0
18.15,-14159.0
18.175,-5257.0
18.2,3289.0
18.225,1613.0
18.25,3069.0
18.275,4804.0
18.3,7858.0
18.325,1203.0
18.35,533.0
18.375,3283.0
18.4,-3636.0
18.425,-3526.0
18.45,-2456.0
18.475,734.0
18.5,7501.0
18.525,14414.0
18.55,19051.0
18.575,10178.0
18.6,8227.0
18.625,16648.0
18.65,11589.0
18.675,5009.0
18.7,3864.0
18.725,7480.0
18.75,7456.0
18.775,-1188.0
18.8,7314.0
18.825,9254.0
18.85,-3916.0
18.875,-35.0
18.9,6714.0
18.925,1736.0
18.95,584.0
18.975,3699.0
19.0,-3632.0
19.025,-2062.0
19.05,3411.0
19.075,-4070.0
19.1,-2923.0
19.125,3656.0
19.15,3323.0
19.175,-7265.0
19.2,-15360.0
19.225,-3484.0
19.25,6979.0
19.275,2392.0
19.3,-807.0
19.325,-995.0
19.35,-5079.0
19.375,-3132.0
19.4,-1303.0
19.425,-9439.0
19.45,-5435.0
19.475,4917.0
19.5,-4310.0
19.525,-13479.0
19.55,-12827.0
19.575,-10556.0
19.6,112.0
19.625,-99.0
19.65,-351.0
19.675,977.0
19.7,-10136.0
19.725,-4641.0
19.75,-7983.0
19.775,-14624.0
19.8,1984.0
19.825,6821.0
19.85,1708.0
19.875,-5218.0
19.9,-11515.0
19.925,-5123.0
19.95,111.0
19.975,-2781.0
20.0,-5763.0
20.025,-2151.0
20.05,-4371.0
20.075,-7922.0
20.1,2494.0
20.125,2408.0
20.15,-9425.0
20.175,-10815.0
20.2,-3302.0
20.225,-3143.0
20.25,-3563.0
20.275,-1389.0
20.3,-7088.0
20.325,-11754.0
20.35,-19024.0
20.375,-11335.0
20.4,-4980.0
20.425,-20605.0
20.45,-11333.0
20.475,-3607.0
20.5,-4387.0
20.525,4109.0
20.55,-4606.0
20.575,-3189.0
20.6,635.0
20.625,-4149.0
20.65,-3197.0
20.675,-4814.0
20.7,-6305.0
20.725,-10884.0
20.75,-12195.0
20.775,-11234.0
20.8,-11055.0
20.825,-4294.0
20.85,3079.0
20.875,3062.0
20.9,-2383.0
20.925,-5470.0
20.95,-3523.0
20.975,-3456.0
21.0,-8640.0
21.025,-4034.0
21.05,-3681.0
21.075,-17404.0
21.1,-13442.0
21.125,-1537.0
21.15,-533.0
21.175,-6768.0
21.2,-7365.0
21.225,7990.0
21.25,9137.0
21.275,3724.0
21.3,5191.0
21.325,4688.0
21.35,4481.0
21.375,-6377.0
21.4,-1703.0
21.425,9260.0
21.45,4357.0
21.475,1776.0
21.5,33.0
21.525,5218.0
21.55,10219.0
21.575,7812.0
21.6,2386.0
21.625,5525.0
21.65,12168.0
21.675,6996.0
21.7,8181.0
21.725,3345.0
21.75,4824.0
21.775,12049.0
21.8,-4008.0
21.825,-8381.0
21.85,-1903.0
21.875,7376.0
21.9,8519.0
21.925,247.0
21.95,5998.0
21.975,5646.0
22.0,10045.0
22.025,7129.0
22.05,-5692.0
22.075,-3143.0
22.1,-411.0
22.125,2843.0
22.15,-3288.0
22.175,-7221.0
22.2,-1662.0
22.225,8344.0
22.25,11529.0
22.275,177.0
22.3,8152.0
22.325,7031.0
22.35,742.0
22.375,9204.0
22.4,7735.0
22.425,11239.0
22.45,8225.0
22.475,2245.0
22.5,-2193.0
22.525,-4561.0
22.55,5686.0
22.575,5993.0
22.6,5046.0
22.625,3632.0
22.65,6338.0
22.675,8126.0
22.7,-2651.0
22.725,-840.0
22.75,-1089.0
22.775,-8561.0
22.8,-14920.0
22.825,-9349.0
22.85,-1623.0
22.875,-11719.0
22.9,-9791.0
22.925,-4648.0
22.95,-7819.0
22.975,-9492.0
23.0,-11068.0
23.025,-7878.0
23.05,-7171.0
23.075,-11366.0
23.1,-12293.0
23.125,-12312.0
23.15,-10736.0
23.175,-10293.0
23.2,-13943.0
23.225,-8850.0
23.25,-8996.0
23.275,-15347.0
23.3,-15762.0
23.325,-13093.0
23.35,-8829.0
23.375,-9653.0
23.4,-9180.0
23.425,-12846.0
23.45,-14683.0
23.475,-11910.0
23.5,-10038.0
23.525,-3479.0
23.55,-5560.0
23.575,-3763.0
23.6,-4128.0
23.625,-12707.0
23.65,-9928.0
23.675,-6821.0
23.7,-6293.0
23.725,-4114.0
23.75,1348.0
23.775,-519.0
23.8,877.0
23.825,9745.0
23.85,413.0
23.875,617.0
23.9,7792.0
23.925,3704.0
23.95,2521.0
23.975,-8264.0
24.0,-7319.0
24.025,8598.0
24.05,7913.0
24.075,1945.0
24.1,2394.0
24.125,3000.0
24.15,3155.0
24.175,3263.0
24.2,-2999.0
24.225,-345.0
24.25,10299.0
24.275,9445.0
24.3,12575.0
24.325,15332.0
24.35,11410.0
24.375,16805.0
24.4,17687.0
24.425,10283.0
24.45,7806.0
24.475,6958.0
24.5,5135.0
24.525,2408.0
24.55,3584.0
24.575,2593.0
24.6,-433.0
24.625,6442.0
24.65,10328.0
24.675,10111.0
24.7,14678.0
24.725,16014.0
24.75,15701.0
24.775,16193.0
24.8,11670.0
24.825,-1617.0
24.85,-2285.0
24.875,7913.0
24.9,-4553.0
24.925,-13173.0
24.95,-4849.0
24.975,-245.0
25.0,1978.0
25.025,-911.0
25.05,-4919.0
25.075,-4900.0
25.1,-5894.0
25.125,-10297.0
25.15,-8148.0
25.175,-2789.0
25.2,-508.0
25.225,-1044.0
25.25,-10161.0
25.275,-9216.0
25.3,-1649.0
25.325,-2027.0
25.35,-5222.0
25.375,-12521.0
25.4,-8484.0
25.425,-2516.0
25.45,-8265.0
25.475,-10769.0
25.5,-8557.0
25.525,-1174.0
25.55,-2694.0
25.575,-13142.0
25.6,-7718.0
25.625,-139.0
25.65,-2696.0
25.675,-5907.0
25.7,-3310.0
25.725,4379.0
25.75,3287.0
25.775,-7223.0
25.8,-14938.0
25.825,-11921.0
25.85,-6081.0
25.875,-6424.0
25.9,-7213.0
25.925,-9161.0
25.95,-8017.0
