name,n,verdict,giantRatio,kappa_connect,isolated,isolatedFraction,tailDominance,runStatus
"randomwalk_afbd3b987d04_canonical.csv",960,FULL_PERCOLATION,1.000000,163.711225,0,0.000000,0.430553,COMPLETE
"randomwalk_b34c4aa481c5_canonical.csv",450,FULL_PERCOLATION,1.000000,120.088920,0,0.000000,0.459899,COMPLETE
"randomwalk_b48366acef02_canonical.csv",340,FULL_PERCOLATION,1.000000,5.479759,0,0.000000,0.236726,COMPLETE
"randomwalk_bd69ad937f0e_canonical.csv",640,FULL_PERCOLATION,1.000000,121.424558,0,0.000000,0.425149,COMPLETE
"randomwalk_c0a79c5b4f72_canonical.csv",797,FULL_PERCOLATION,1.000000,158.391231,0,0.000000,0.405546,COMPLETE
"randomwalk_c3e411a57479_canonical.csv",843,FULL_PERCOLATION,1.000000,219.070120,0,0.000000,0.449111,COMPLETE
"randomwalk_cb1dc8842186_canonical.csv",504,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.343033,COMPLETE
"randomwalk_d6a9b0201c36_canonical.csv",610,FULL_PERCOLATION,1.000000,205.359956,0,0.000000,0.478875,COMPLETE
"randomwalk_d228bfbb1fd8_canonical.csv",440,FULL_PERCOLATION,1.000000,141.856394,0,0.000000,0.514559,COMPLETE
"randomwalk_d8205f8f67af_canonical.csv",773,FULL_PERCOLATION,1.000000,228.140122,0,0.000000,0.485799,COMPLETE
"randomwalk_da62f24b7ee7_canonical.csv",901,FULL_PERCOLATION,1.000000,175.486341,0,0.000000,0.391827,COMPLETE
"randomwalk_da5507a7c4de_canonical.csv",423,FULL_PERCOLATION,1.000000,121.306925,0,0.000000,0.432940,COMPLETE
"randomwalk_df9a1202255f_canonical.csv",43,HARD_FRAGMENTATION,0.976744,,1,0.023256,0.174992,COMPLETE
"randomwalk_e61aea9d1bc2_canonical.csv",769,FULL_PERCOLATION,1.000000,170.354256,0,0.000000,0.408661,COMPLETE
"randomwalk_e98c56a320fb_canonical.csv",549,FULL_PERCOLATION,1.000000,128.979669,0,0.000000,0.390309,COMPLETE
"randomwalk_e237ea51ce69_canonical.csv",438,FULL_PERCOLATION,1.000000,138.860035,0,0.000000,0.466919,COMPLETE
"randomwalk_ec315fae9507_canonical.csv",467,FULL_PERCOLATION,1.000000,148.349704,0,0.000000,0.470029,COMPLETE
"randomwalk_ece708d729d4_canonical.csv",859,FULL_PERCOLATION,1.000000,237.371301,0,0.000000,0.411151,COMPLETE
"randomwalk_f81a10913e85_canonical.csv",762,FULL_PERCOLATION,1.000000,215.973498,0,0.000000,0.396340,COMPLETE
"randomwalk_f83ea09e56ac_canonical.csv",680,HARD_FRAGMENTATION,0.969118,,5,0.007353,0.412687,COMPLETE
"randomwalk_f58153b9040b_canonical.csv",569,FULL_PERCOLATION,1.000000,126.742278,0,0.000000,0.387927,COMPLETE
